1,2007-10-26,2007-10-30,3,1,1
2,2009-11-15,2009-11-18,1,2,2
3,2030-04-30,2030-05-22,1,3,3
4,2002-12-28,2003-01-20,1,4,4
5,2012-08-11,2012-08-13,1,5,7
6,2018-06-01,2018-06-11,3,6,9
7,2009-03-18,2009-04-17,1,7,10
8,2004-05-13,2004-06-12,3,8,10
9,2013-05-29,2013-06-04,1,9,11
10,2028-05-11,2028-05-23,1,10,11
11,2024-10-14,2024-10-25,2,11,12
12,2027-09-23,2027-10-15,1,12,12
13,2013-11-16,2013-12-13,1,13,13
14,2007-05-28,2007-06-12,3,14,13
15,2025-07-19,2025-08-08,2,15,14
16,2006-07-03,2006-07-23,1,16,14
17,2011-10-17,2011-11-04,2,17,17
18,2002-08-05,2002-08-15,1,18,19
19,2005-09-05,2005-10-02,1,19,20
20,2010-12-10,2010-12-15,1,20,20
21,2005-04-13,2005-04-17,3,21,21
22,2020-09-20,2020-09-21,1,22,22
23,2020-06-27,2020-07-06,2,23,24
24,2029-05-28,2029-06-16,2,24,24
25,2003-09-13,2003-09-18,1,25,27
26,2003-10-13,2003-10-16,1,26,27
27,2019-10-17,2019-11-13,1,27,29
28,2025-04-22,2025-05-12,1,28,30
29,2018-06-04,2018-06-05,1,29,30
30,2023-11-11,2023-12-03,1,30,33
31,2012-02-24,2012-03-17,1,31,35
32,2028-10-30,2028-11-15,3,32,35
33,2017-04-26,2017-05-13,1,33,37
34,2017-10-30,2017-11-04,3,34,38
35,2025-02-04,2025-03-02,2,35,38
36,2021-03-07,2021-03-14,3,36,39
37,2000-01-10,2000-01-27,3,37,39
38,2029-05-01,2029-05-08,2,38,41
39,2008-08-12,2008-08-24,1,39,41
40,2015-10-15,2015-10-17,1,40,42
41,2014-04-23,2014-04-30,1,41,42
42,2025-10-05,2025-10-25,2,42,43
43,2028-12-09,2028-12-15,3,43,43
44,2017-06-23,2017-06-28,3,44,44
45,2026-05-20,2026-06-06,2,45,45
46,2006-07-24,2006-08-10,1,46,45
47,2016-01-02,2016-01-10,2,47,47
48,2007-03-29,2007-04-12,2,48,47
49,2012-03-21,2012-04-05,1,49,49
50,2000-12-14,2001-01-11,2,50,50
51,2027-06-15,2027-06-20,1,51,50
52,2023-01-02,2023-01-15,1,52,51
53,2013-03-07,2013-03-22,1,53,52
