1,1,2007-08-09,73137
2,2,2009-08-01,17304
3,3,2030-02-19,295619
4,4,2002-09-17,171150
5,5,2012-06-07,15308
6,6,2018-03-16,250920
7,7,2009-02-05,291533
8,8,2004-02-28,708240
9,9,2013-01-26,66554
10,10,2028-04-21,217157
11,11,2024-07-23,321388
12,12,2027-05-21,493716
13,13,2013-08-02,318988
14,14,2006-12-30,452982
15,15,2025-06-13,259755
16,16,2006-04-21,172040
17,17,2011-07-26,442046
18,18,2002-03-10,60900
19,19,2005-07-19,355624
20,20,2010-09-22,22500
21,21,2005-02-03,65525
22,22,2020-06-02,5768
23,23,2020-04-27,115221
24,24,2029-01-30,344147
25,25,2003-04-20,85644
26,26,2003-09-14,29417
27,27,2019-08-19,178200
28,28,2025-01-20,435650
29,29,2018-03-14,7654
30,30,2023-09-27,152563
31,31,2011-11-14,271301
32,32,2028-06-27,330222
33,33,2017-01-30,159131
34,34,2017-06-27,105926
35,35,2024-10-11,739749
36,36,2020-12-04,128880
37,37,1999-12-03,361731
38,38,2028-12-12,85786
39,39,2008-05-18,138673
40,40,2015-06-20,16035
41,41,2014-01-09,46200
42,42,2025-09-04,224000
43,43,2028-07-27,174336
44,44,2017-04-28,74840
45,45,2026-01-04,453685
46,46,2006-06-14,130118
47,47,2015-11-26,162791
48,48,2006-11-06,188717
49,49,2012-02-05,143342
50,50,2000-09-05,759687
51,51,2027-03-03,39110
52,52,2022-08-29,90300
53,53,2013-02-01,322423
54,54,2008-06-18,149300
55,55,2010-04-24,125408
56,56,2016-08-03,86520
57,57,2024-03-28,17464
58,58,2022-05-05,14864
59,59,2021-10-29,13304
60,60,2026-03-21,38904
61,61,2010-08-06,187942
62,62,2012-06-07,29412
63,63,2016-10-29,181332
64,64,2020-09-02,122828
65,65,2028-03-13,7432
66,66,2026-05-28,9654
67,67,2013-12-18,209440
68,68,2020-01-07,133888
69,69,2026-10-27,426625
70,70,2027-09-28,97045
71,71,2018-09-12,77232
72,72,2025-03-25,173216
73,73,2027-09-01,313179
74,74,2012-02-08,946783
75,75,2021-05-31,192384
76,76,2013-12-23,142010
77,77,2005-03-31,74275
78,78,2000-01-21,55176
79,79,2025-07-21,287054
