1,861,apartments,4600
2,340,duplex,7654
3,930,superior room,3768
4,871,suite,5432
5,124,duplex,7654
6,270,duplex,7654
7,632,apartments,4600
8,733,suite,5432
9,646,suite,5432
10,688,standard,2500
11,115,presidential,12345
12,490,superior room,3768
13,123,standard,2500
14,681,presidential,12345
15,877,apartments,4600
16,759,suite,5432
17,169,apartments,4600
18,520,standard,2500
19,720,suite,5432
20,850,duplex,7654
21,547,suite,5432
22,692,duplex,7654
23,194,duplex,7654
24,358,apartments,4600
25,821,suite,5432
26,513,presidential,12345
27,156,standard,2500
28,1038,standard,2500
29,921,suite,5432
30,427,standard,2500
31,774,presidential,12345
32,885,standard,2500
33,629,superior room,3768
34,475,suite,5432
35,943,apartments,4600
36,873,apartments,4600
37,815,apartments,4600
38,843,standard,2500
39,779,suite,5432
40,808,superior room,3768
41,701,standard,2500
42,307,apartments,4600
43,863,superior room,3768
44,896,duplex,7654
45,451,apartments,4600
46,1022,apartments,4600
47,725,duplex,7654
48,245,apartments,4600
49,343,presidential,12345
50,507,duplex,7654
51,615,superior room,3768
52,823,suite,5432
53,820,presidential,12345
54,1013,superior room,3768
55,712,suite,5432
56,865,duplex,7654
57,962,apartments,4600
58,539,standard,2500
59,923,duplex,7654
60,1030,suite,5432
61,164,standard,2500
62,204,standard,2500
63,713,standard,2500
64,916,duplex,7654
65,792,superior room,3768
66,160,presidential,12345
67,108,standard,2500
68,623,standard,2500
69,1028,superior room,3768
70,740,presidential,12345
71,833,presidential,12345
72,1079,standard,2500
73,835,duplex,7654
74,647,standard,2500
75,1042,suite,5432
76,525,apartments,4600
77,602,presidential,12345
78,654,superior room,3768
79,744,superior room,3768
80,983,superior room,3768
81,301,duplex,7654
82,466,apartments,4600
83,671,duplex,7654
84,527,suite,5432
85,278,standard,2500
86,963,duplex,7654
87,300,superior room,3768
88,945,standard,2500
89,811,superior room,3768
90,651,apartments,4600
91,190,duplex,7654
92,331,suite,5432
93,747,standard,2500
94,663,duplex,7654
95,396,suite,5432
96,633,presidential,12345
97,578,presidential,12345
98,971,suite,5432
99,699,suite,5432
100,508,apartments,4600
101,996,suite,5432
102,259,presidential,12345
103,381,standard,2500
104,247,apartments,4600
105,380,superior room,3768
106,942,presidential,12345
107,269,presidential,12345
108,497,presidential,12345
109,307,apartments,4600
110,717,duplex,7654
111,172,apartments,4600
112,167,suite,5432
113,401,standard,2500
114,430,standard,2500
115,435,duplex,7654
116,1004,suite,5432
117,310,duplex,7654
118,816,presidential,12345
119,977,presidential,12345
120,1010,apartments,4600
121,394,presidential,12345
122,1024,standard,2500
123,734,suite,5432
124,499,superior room,3768
125,554,standard,2500
126,754,duplex,7654
127,1094,standard,2500
128,398,standard,2500
129,892,superior room,3768
130,943,superior room,3768
131,123,standard,2500
132,396,suite,5432
133,569,apartments,4600
134,157,standard,2500
135,750,duplex,7654
136,885,apartments,4600
137,658,presidential,12345
138,1069,apartments,4600
139,556,superior room,3768
140,716,standard,2500
141,935,presidential,12345
142,601,suite,5432
143,501,duplex,7654
144,685,superior room,3768
145,593,duplex,7654
146,643,suite,5432
147,294,apartments,4600
148,162,superior room,3768
149,792,superior room,3768
150,1049,suite,5432
151,712,superior room,3768
152,533,suite,5432
153,1062,apartments,4600
154,221,standard,2500
155,707,duplex,7654
156,942,superior room,3768
157,162,duplex,7654
158,578,superior room,3768
159,740,presidential,12345
160,449,standard,2500
161,955,suite,5432
162,695,superior room,3768
163,991,duplex,7654
164,1034,apartments,4600
165,229,suite,5432
166,476,apartments,4600
167,313,superior room,3768
168,159,duplex,7654
169,977,suite,5432
170,157,suite,5432
171,1056,presidential,12345
172,1029,superior room,3768
173,1017,apartments,4600
174,1088,apartments,4600
175,509,apartments,4600
176,796,apartments,4600
177,881,superior room,3768
178,114,presidential,12345
179,114,suite,5432
180,519,duplex,7654
181,1007,standard,2500
182,712,apartments,4600
183,663,standard,2500
184,285,presidential,12345
185,198,apartments,4600
186,616,presidential,12345
187,663,apartments,4600
188,451,apartments,4600
189,935,presidential,12345
190,300,standard,2500
191,279,suite,5432
192,165,apartments,4600
193,410,suite,5432
194,127,apartments,4600
195,430,duplex,7654
196,225,duplex,7654
197,872,suite,5432
198,491,standard,2500
199,1040,presidential,12345
200,272,suite,5432
201,625,duplex,7654
202,376,superior room,3768
203,513,duplex,7654
204,396,duplex,7654
205,1069,apartments,4600
206,102,standard,2500
207,319,apartments,4600
208,422,apartments,4600
209,210,suite,5432
210,384,presidential,12345
211,403,apartments,4600
212,593,duplex,7654
213,402,duplex,7654
214,400,standard,2500
215,550,superior room,3768
216,143,presidential,12345
217,365,standard,2500
218,627,presidential,12345
219,642,duplex,7654
220,865,standard,2500
221,348,presidential,12345
222,806,suite,5432
223,948,standard,2500
224,524,duplex,7654
225,517,suite,5432
226,745,apartments,4600
227,854,standard,2500
228,341,apartments,4600
229,114,superior room,3768
230,119,duplex,7654
231,1009,suite,5432
232,1071,superior room,3768
233,777,suite,5432
234,212,duplex,7654
235,992,superior room,3768
236,460,superior room,3768
237,789,apartments,4600
238,1054,presidential,12345
239,548,standard,2500
240,792,suite,5432
241,658,superior room,3768
242,293,superior room,3768
243,306,apartments,4600
244,935,presidential,12345
245,240,apartments,4600
246,199,superior room,3768
247,486,standard,2500
248,247,duplex,7654
249,1028,standard,2500
250,1092,standard,2500
251,404,duplex,7654
252,982,duplex,7654
253,152,apartments,4600
254,861,apartments,4600
255,267,superior room,3768
256,479,presidential,12345
257,978,duplex,7654
258,243,apartments,4600
259,721,suite,5432
260,311,apartments,4600
261,1051,apartments,4600
262,232,apartments,4600
263,809,standard,2500
264,372,suite,5432
265,594,superior room,3768
266,368,presidential,12345
267,657,superior room,3768
268,108,suite,5432
269,848,apartments,4600
270,1076,suite,5432
271,964,duplex,7654
272,219,standard,2500
273,536,duplex,7654
274,617,superior room,3768
275,412,duplex,7654
276,179,apartments,4600
277,902,standard,2500
278,435,suite,5432
279,627,duplex,7654
280,651,superior room,3768
281,671,apartments,4600
282,949,duplex,7654
283,1058,superior room,3768
284,721,superior room,3768
285,222,suite,5432
286,432,standard,2500
287,828,duplex,7654
288,255,superior room,3768
289,911,duplex,7654
290,694,suite,5432
291,616,apartments,4600
292,297,duplex,7654
293,515,presidential,12345
294,341,suite,5432
295,290,suite,5432
296,543,duplex,7654
297,994,suite,5432
298,407,apartments,4600
299,263,apartments,4600
300,643,standard,2500
301,257,presidential,12345
302,207,presidential,12345
303,148,standard,2500
304,502,duplex,7654
305,302,superior room,3768
306,330,apartments,4600
307,771,presidential,12345
308,870,superior room,3768
309,786,duplex,7654
310,938,apartments,4600
311,489,standard,2500
312,487,suite,5432
313,691,apartments,4600
314,1082,standard,2500
315,413,presidential,12345
316,804,presidential,12345
317,679,suite,5432
318,1072,suite,5432
319,626,presidential,12345
320,195,apartments,4600
321,988,suite,5432
322,228,standard,2500
323,726,duplex,7654
324,746,suite,5432
325,1031,presidential,12345
326,920,duplex,7654
327,1090,suite,5432
328,286,apartments,4600
329,215,standard,2500
330,497,presidential,12345
331,217,suite,5432
332,712,presidential,12345
333,218,standard,2500
334,578,suite,5432
335,555,superior room,3768
336,716,apartments,4600
337,496,suite,5432
338,237,duplex,7654
339,227,apartments,4600
